son,parent
2237878,1135952
1804404,2494365
2228971,1304175
1273402,747597
2435907,48301
2347459,723907
1158429,1515845
1275538,1012603
1168000,1262435
1133108,1265591
2306335,1265631
1052273,1265810
789502,1270424
2186796,1279026
1108573,1117412
2234979,1134521
1084599,1173313
2491328,2426199
1142739,1121679
1007860,763275
1234149,763275
1174283,766733
1153584,766733
1136324,766733
1109027,777224
1281475,1006776
1279156,1259449
1278821,1016366
1287085,1286647
1984368,1045006
2301869,1121681
1187796,766733
1927003,28435
2275891,28435
1070195,28435
1043903,28435
1155533,286260
1570649,1259436
1273406,1011078
2064213,2064212
2002896,1269853
1309756,1279727
1370524,1128583
1074215,1184247
1747519,2437488
1914106,1211492
1195410,1266283
1069906,722081
1085354,1264709
1017183,1265685
1375774,1264061
1083448,1266611
1326929,1326940
2091721,1113398
1163722,1166843
1022673,403884
1074503,748308
1013991,755186
1064347,790060
2378035,1006464
1187257,1007745
1185332,1300464
1273899,1143248
1178275,2215059
2178747,2437584
1064781,1007745
1618118,573669
2276954,725580
2305964,725580
1586780,1265766
1337613,1265766
1825383,1266487
1142947,1267272
1083653,1284553
2127580,2127591
1273130,1133353
1124551,1169803
1233291,1071189
1077517,1217346
1837887,1838149
2412837,728113
1069266,728113
1017190,728113
2058666,728113
1779825,728113
1310395,747115
1181282,1262424
1338649,1291594
2310060,1092120
1102022,1101846
2180195,1218246
2240261,727272
1118733,732328
1042774,732328
2306639,732328
1970396,1250994
1786166,1289639
782758,792081
1077673,1249619
1332677,792081
2446479,736447
1250843,736447
1987748,743583
1663195,743583
1057384,743583
2033351,743583
1458232,779544
1173486,779544
1110728,779544
1031895,779544
1326146,1250841
1250975,1250841
2357791,1250949
2066657,1264181
1044312,1265803
1692048,1267634
2088238,1267634
1547971,1267634
1282687,1017686
2283461,1262245
2422312,1262285
2293051,1078324
1012343,1368658
2210566,2440895
1920372,1247287
1457623,1011289
1457603,1011289
1457567,1011289
1457515,1011289
1255501,1011289
2028688,1011289
2166011,1262245
2444110,723008
2413626,723008
2196816,723008
1759735,723008
1108417,725383
1440293,726068
1277037,1244903
1742494,778691
1612735,1250177
1266564,1250177
1658581,1006393
1662565,1015741
785581,1266772
1115544,1023522
606982,1086418
2487708,1086454
1162861,1182311
1230729,1215456
2160411,2455933
1070421,1257046
1016535,1257046
1246554,1123127
2139382,1015741
1321106,1015741
2279564,1015741
2169706,1015741
1494985,1015741
1073019,742571
1161600,1250371
1054013,1262201
2369176,1262277
1251421,1267072
1250610,1271658
2280002,1071371
2447812,1075707
2187054,1075707
1191016,1202246
1054922,779929
2495572,1262201
1156082,1271658
2183773,1017754
2354763,773325
1047593,1010849
1189964,1088538
2193547,1088538
1124222,1164552
1247381,1503885
1162580,1251139
1055978,1251139
1029225,1251139
1626489,1270452
724896,1270452
2053337,1070506
1149039,1083573
1051041,1083573
1262331,1087236
2438877,2432662
1621688,2432662
1785419,2432662
1195522,1251147
1150653,1251147
1077043,1270452
1158556,1228389
1055432,327644
1219345,1247645
1647739,1266240
1404730,1266240
1267516,1267495
2199675,1280911
1177703,1177776
1213520,1228369
1113760,1250194
2215834,1013120
1128093,1200784
1190004,751530
1195164,569145
1132699,740954
2170316,1245172
2359797,1003003
2000777,1250372
2260973,1511787
1183868,1262234
1001091,1265828
1092527,1037966
1319428,1319429
1073569,1086523
1087008,1151879
2145553,1699576
1083335,1229692
1100671,1245172
1026980,37556
1176627,732269
1714352,747597
1027048,747597
1129699,1265897
1249835,1267644
1134723,1304175
739220,1176631
1286638,2494365
1116624,1327999
1059201,1267496
1566813,1510466
1053308,1254132
1450973,1262435
1013066,1265631
1763854,1270424
1154834,1036769
1450953,1262435
1268186,184469
1253613,749306
1010203,763275
1359261,1029519
1506675,1029519
1243348,1228443
1476726,94962
1927417,725580
2130598,1265766
1501808,1265766
1704911,1279130
1451134,1293880
1017738,1087762
1210689,1089745
726039,1213105
1838144,1838149
1063215,398739
2024741,728113
1175741,728113
1779823,728113
1623798,1623792
1382806,1218246
1097725,1218246
1267385,2489953
2306641,732328
2306617,732328
2306601,732328
